HomePlanet;Cabin;Destination;Transported
2;20000;1;0
1;100001;1;1
2;1;1;0
2;1;1;0
1;100011;1;1
1;100000;2;1
1;100021;1;1
1;120001;1;1
1;100031;1;1
2;20010;3;1
2;20010;1;1
2;20010;3;1
0;100010;1;1
1;120011;1;0
1;100020;1;1
1;-1;1;0
0;100030;3;0
1;100040;3;0
0;100050;1;1
1;120000;1;1
1;100060;3;0
1;80001;1;0
1;80001;3;0
1;80001;3;0
1;80001;1;1
1;80001;2;0
1;80001;1;0
0;60000;1;0
2;40021;1;1
1;100061;1;0
2;40000;3;0
0;100080;1;0
1;120041;1;0
0;100090;1;1
0;100090;1;1
0;100090;1;1
2;60011;3;1
0;60010;3;0
1;100081;3;0
1;100101;3;0
1;120010;3;0
1;120020;1;1
2;20030;1;0
1;120030;1;0
1;120030;3;1
1;120030;2;1
0;100100;1;0
0;100100;-4;1
1;80011;3;0
1;80021;1;0
1;120061;1;0
1;100111;1;1
2;11;1;1
2;11;1;1
2;11;1;1
1;120071;2;0
1;100121;1;0
1;100131;1;0
0;100141;1;1
-4;80031;1;1
1;120060;1;0
1;120101;2;1
1;120101;1;1
1;100151;3;0
0;80041;1;0
1;100161;1;1
1;100130;1;0
1;100140;1;0
1;100171;1;0
0;60030;2;0
2;40031;1;1
0;100181;1;1
0;100150;1;1
2;40041;1;0
1;120131;1;0
0;100160;1;0
0;100160;1;1
0;100160;1;1
1;120141;1;1
2;40051;1;1
1;100170;1;0
0;80051;2;1
1;120151;1;1
1;120161;1;1
1;100201;1;0
1;120090;1;0
1;120090;1;1
1;120090;1;1
2;21;1;0
1;120110;1;0
1;120110;1;1
1;100190;2;0
1;120120;1;1
0;-1;1;1
1;100231;1;0
1;100241;1;1
1;120181;3;1
1;120181;1;0
1;100210;1;0
0;60021;1;0
1;120191;1;0
1;120191;1;0
1;120191;1;1
2;-1;1;0
2;20050;1;0
2;20050;1;1
2;20050;1;1
2;80061;1;1
2;20011;3;1
1;100230;1;1
1;120201;1;0
0;100240;1;1
2;60040;1;1
-4;0;1;0
2;0;1;1
0;100250;1;1
1;120211;1;0
1;100270;1;0
0;100271;1;1
0;80071;1;0
0;60031;1;0
0;80081;1;0
1;120221;2;1
0;100291;1;1
0;60051;1;0
1;120170;1;1
1;120231;2;0
1;120180;1;1
1;80050;-4;0
2;40061;3;1
1;120190;1;1
1;100290;1;0
0;100300;1;0
1;100311;1;1
1;120251;1;0
1;120261;1;1
0;100310;1;0
1;120271;3;1
1;120200;3;0
1;100320;-4;0
1;120220;1;0
2;20080;1;1
2;20080;1;1
1;120281;1;1
1;120281;2;0
0;100370;1;1
0;100351;1;1
0;100351;1;0
1;120230;1;0
1;80101;1;0
1;120301;2;1
1;120240;1;1
1;80111;1;1
1;100380;3;0
2;20021;1;0
0;60061;1;0
1;120260;1;1
1;120260;1;0
1;120260;1;1
1;120270;1;0
2;40030;1;1
1;100361;1;1
1;120280;1;0
1;120311;1;1
1;80080;3;0
1;120321;3;0
1;120290;1;1
1;120290;1;0
1;120290;1;0
0;100410;1;1
0;100410;1;0
0;100410;1;1
0;100420;1;1
0;60050;2;0
2;40050;1;0
1;120300;2;1
1;120331;1;0
1;120310;1;1
2;20031;1;1
2;20031;1;1
2;20090;3;1
2;20;3;1
2;40081;1;1
1;120341;1;0
2;40091;3;1
1;120320;2;0
-4;60060;3;1
0;100440;1;1
0;100440;1;1
0;100440;1;0
1;80090;1;0
1;100450;1;0
1;100460;1;0
1;100401;3;0
1;100470;1;0
1;120360;1;1
1;120370;1;1
1;120370;1;1
1;120370;1;0
1;80100;1;0
1;100480;1;0
1;120370;3;0
1;120370;1;1
0;80131;3;0
0;80131;1;0
0;80131;1;0
0;80131;1;1
0;80131;1;0
0;80131;1;0
0;80131;1;0
0;100411;1;0
0;100411;1;1
0;80141;1;1
1;120351;1;0
0;100421;1;0
1;120380;2;1
1;100431;1;0
0;100441;1;0
1;120361;2;0
0;100451;1;0
1;100500;1;0
2;20110;1;1
0;-1;1;0
0;100520;1;1
2;80110;3;0
-4;100461;1;0
1;120371;1;0
0;-1;1;1
0;100471;3;1
2;40060;3;1
2;40060;1;0
0;60080;1;0
2;40101;1;0
1;120381;2;0
-4;40111;3;1
1;100530;1;0
1;120420;1;0
1;100540;1;1
2;31;1;1
0;100491;3;0
0;100491;1;1
1;100501;1;0
2;80161;1;0
1;100560;1;0
1;120430;1;1
2;60081;1;1
1;100511;1;0
1;100521;3;1
1;100590;1;0
2;60091;3;1
1;100610;3;1
1;-1;1;0
1;120450;1;0
1;100630;1;1
1;100541;1;1
1;120460;2;1
1;100640;1;1
2;80160;1;1
2;80160;3;1
1;100650;3;0
2;-1;3;1
2;20120;1;0
1;100551;3;0
2;40121;3;1
2;20071;3;1
2;20071;1;1
2;20071;1;1
2;20071;3;1
2;60101;1;1
2;20081;1;1
1;120470;1;1
2;30;3;1
1;-1;1;0
1;100670;1;0
-4;120411;1;1
2;80181;1;0
2;40070;3;0
1;80191;1;0
1;100591;1;1
1;100601;1;0
2;-1;1;0
1;100680;2;1
1;120500;3;1
1;100680;3;1
1;120500;3;1
1;120510;3;0
-4;120421;2;1
2;20091;1;1
2;20091;1;1
1;120441;1;0
1;120441;1;0
-4;100611;1;0
1;120451;2;0
1;120530;3;0
1;120471;1;0
1;-1;1;1
2;40141;1;1
2;40141;1;1
2;40141;1;0
1;100720;1;0
0;100730;3;1
0;100621;1;0
1;100740;1;0
0;100631;3;1
0;100631;1;1
0;100631;3;1
1;120481;1;1
2;20101;3;1
1;120570;2;0
1;100760;2;0
0;80211;1;0
1;120590;3;1
0;100641;1;0
0;60120;1;1
0;-1;1;1
1;120600;2;1
0;100780;1;0
1;-1;1;1
2;20150;3;1
1;100651;1;0
1;120501;1;1
1;120501;2;1
1;100661;2;0
1;100671;1;0
1;100681;3;1
1;120511;3;0
0;100820;1;0
0;100820;1;1
1;120531;1;1
1;100830;1;0
0;100840;1;1
1;100850;1;0
1;120620;1;0
1;80220;1;0
1;120541;1;1
2;40151;3;0
2;20111;3;0
2;20111;3;1
2;20111;1;0
2;20111;1;1
2;20111;1;1
2;20111;1;0
2;20111;1;1
1;120630;1;1
2;-1;3;1
2;20160;3;1
2;20160;3;1
-4;120640;-4;0
1;120551;1;0
1;120551;2;0
1;120561;3;1
1;120561;1;1
1;120650;1;0
1;120660;1;0
1;120571;1;0
1;80230;1;0
2;40090;2;1
1;80240;1;0
2;20170;3;0
2;20170;3;0
1;120591;1;1
0;100691;1;1
0;60131;1;0
0;60141;1;0
0;60141;1;0
-4;60151;3;1
0;60130;1;1
1;100890;3;0
1;120690;1;0
1;100900;1;0
1;120690;1;0
0;80250;1;0
0;100711;1;0
1;100721;3;0
1;100910;1;0
2;40110;1;1
1;100920;1;0
1;120601;1;0
2;20180;3;1
2;20180;3;0
2;20180;1;1
2;20190;1;1
0;100960;1;0
0;100960;1;1
0;100960;1;1
2;80260;1;1
2;40161;1;1
2;51;3;1
2;51;3;1
1;100751;1;1
0;100970;1;1
0;100761;1;0
2;20200;3;1
2;20200;1;0
0;100771;1;1
1;120621;1;1
1;120631;3;1
1;120631;2;0
1;100781;1;0
1;100781;2;0
2;20131;1;1
2;40130;3;0
1;100791;3;0
1;100980;1;0
0;60150;1;0
-4;100990;1;0
1;100801;1;0
-4;80251;1;0
2;20210;3;1
1;100811;1;1
1;80270;1;0
1;120710;2;1
1;120641;1;1
0;80261;1;1
2;20141;1;1
2;-1;3;1
2;20141;1;1
2;20151;3;1
2;20151;1;1
2;20151;1;1
1;100831;1;0
1;120720;2;1
1;120720;1;0
1;120720;1;0
2;60161;3;1
1;100841;1;0
1;120651;2;1
1;80271;2;1
1;100851;1;1
1;120661;3;1
1;120671;-4;0
0;101000;1;0
0;101000;1;0
1;80280;1;0
1;80280;1;1
1;101010;1;0
1;-1;1;0
0;100861;3;1
-4;100861;1;1
2;20220;1;0
2;20220;3;1
1;100871;2;0
1;120691;3;1
1;80290;1;0
0;101030;2;0
0;101030;1;1
0;101030;1;1
1;80300;1;0
1;120740;1;0
1;120701;1;1
1;80281;1;0
1;100881;1;0
2;20171;3;0
2;40191;1;0
1;120760;2;0
1;120711;1;1
2;-1;3;1
2;20181;3;1
0;100891;3;1
0;80291;1;0
0;60190;3;1
2;80320;1;0
0;-1;1;0
0;100901;1;1
0;100901;1;0
0;80311;1;0
2;20191;3;1
2;20191;3;1
2;20191;-4;1
2;20191;1;0
2;20191;3;1
-4;20191;3;1
0;100911;1;1
1;120741;1;1
2;40160;1;1
2;60181;3;1
2;60181;1;1
1;120780;2;1
2;20201;1;1
2;61;3;0
1;101090;1;0
-4;100921;1;1
1;120771;1;1
1;120781;1;0
1;80321;1;1
1;80330;1;0
1;80331;1;1
1;-1;1;1
0;100931;3;0
0;100931;1;1
2;40170;1;0
1;120810;2;0
1;120820;3;0
1;120820;3;1
0;60210;1;0
2;20230;1;0
2;20230;1;0
1;120830;1;0
1;101100;1;1
2;40180;1;1
2;40180;3;1
-4;40180;3;1
2;40180;1;1
2;40180;1;0
0;100951;1;1
-4;100951;1;0
1;120840;1;0
1;101110;1;0
1;100961;3;0
1;100971;1;0
1;80361;1;1
0;60191;2;1
0;100981;1;1
1;100991;1;1
1;120801;1;0
2;40211;3;1
2;40190;1;1
2;40190;1;1
2;40200;3;1
2;40200;1;0
1;101001;1;1
1;101021;2;0
1;120811;1;0
1;120811;2;1
-4;101031;1;1
1;120821;1;0
0;101140;3;0
2;20240;3;1
2;20240;1;1
2;20240;-4;0
0;101150;1;0
0;80371;1;1
1;120831;1;1
2;60201;1;0
2;60201;3;1
1;101160;1;1
2;40221;1;1
2;40210;3;1
2;40210;1;0
2;40210;1;1
2;40210;-4;1
2;40210;3;1
2;40210;1;0
2;40210;1;1
1;101051;1;0
1;101170;1;0
2;80340;1;1
1;101071;-4;0
1;120860;1;0
1;101081;1;1
1;120851;1;0
1;120870;1;1
1;80381;1;0
0;101180;1;1
0;101091;1;1
0;101091;1;1
0;101091;1;1
0;101200;1;1
0;101200;1;1
0;60220;1;0
2;60230;1;1
0;101210;1;0
1;120890;2;0
1;80350;1;0
1;120900;1;0
1;120861;2;0
0;60240;1;0
1;120871;3;0
-4;80391;1;0
0;101230;1;1
1;120910;-4;1
1;120910;1;0
1;120891;1;0
0;101240;1;1
0;101240;1;1
0;101240;1;0
0;101240;1;1
2;40231;1;1
0;101250;1;1
0;80360;1;0
0;101250;1;1
1;101260;1;0
2;40220;1;0
2;40220;3;0
2;40220;1;0
1;120940;1;1
0;101280;1;0
1;101290;1;0
1;120901;2;1
2;20250;1;1
1;120911;1;1
1;120921;1;0
1;120921;1;1
1;120921;3;1
1;120950;3;1
1;101310;2;0
2;40241;1;1
2;40241;3;1
1;120931;1;1
1;101330;1;1
1;120960;1;0
0;101121;1;1
0;101131;1;1
0;60250;2;0
1;101350;1;0
1;120941;1;1
1;80431;1;0
1;101360;3;0
1;101360;1;0
0;80441;1;0
2;20280;3;1
1;101370;1;1
1;101141;1;0
2;40251;3;1
2;40251;3;1
2;40251;1;0
2;40251;3;1
2;40251;3;1
0;101380;1;1
2;80380;1;1
1;120980;-4;0
2;40261;3;1
0;101151;1;1
0;101151;1;1
0;101151;1;0
1;120951;2;1
0;80451;1;1
0;80390;1;1
1;121010;1;0
1;101171;1;1
1;120971;1;0
1;101181;2;0
1;120981;1;1
1;120991;1;0
2;40230;1;0
1;101400;1;1
2;80461;1;0
-4;101410;1;1
0;101410;1;0
1;101420;1;0
1;101430;1;0
1;121020;2;1
1;121030;1;0
1;121011;2;0
1;121021;1;0
1;121031;1;0
1;121041;1;0
1;121050;2;0
1;121050;1;0
1;121050;1;0
0;101211;1;1
0;101440;1;0
0;101450;1;1
0;101450;1;1
0;101450;1;1
1;80410;1;0
0;101460;1;1
0;60300;1;0
0;60231;1;0
0;80481;1;0
2;20251;1;1
0;101221;1;1
0;80491;1;0
0;101231;1;0
0;80491;1;1
2;-1;3;1
2;40271;1;0
1;121071;1;1
1;101470;3;1
0;101261;-4;1
0;60241;3;0
2;60251;1;1
1;101271;1;0
1;121081;1;1
1;121070;1;1
1;101490;3;1
1;121091;1;1
2;71;3;1
2;71;3;1
2;-1;3;1
0;80420;1;0
0;101500;1;0
0;101500;1;1
1;80501;1;0
1;121090;2;1
1;121090;1;0
1;121090;-4;1
1;121090;2;0
1;121090;2;0
1;121090;3;1
1;121090;3;1
2;-1;3;1
1;80430;1;0
0;80440;1;0
1;101321;2;0
1;121110;1;0
1;101331;1;1
1;101341;3;1
1;80531;1;1
1;-1;1;0
1;101530;3;0
1;101540;1;0
1;101560;1;0
2;40281;3;0
0;101570;1;1
2;40240;3;0
2;40240;3;1
2;40240;1;0
1;121111;1;1
1;121121;1;0
1;101401;3;0
2;40;-4;1
2;40;3;0
2;-1;3;1
2;60310;3;1
2;20271;3;1
2;20271;1;0
2;20271;1;1
0;60330;3;0
2;40260;-4;1
1;121141;2;0
1;121151;1;0
0;101421;2;1
0;101421;1;0
1;121161;1;0
2;20320;3;0
2;20320;1;1
2;20281;3;1
1;121171;1;0
